site,transect,team,spcode,start,stop,dist
BR1,2,AW,astirr,7.5,8.2,0.7
BR1,2,AW,BG,8.2,8.9,0.7
BR1,2,AW,HERB,8.9,9.1,0.2
BR1,2,AW,BG,9.1,9.9,0.8
BR1,2,AW,DALFOR,9.9,10.2,0.3
BR1,2,AW,BG,10.2,11,0.8
BR1,2,AW,DALFOR,11,11.1,0.1
BR1,2,AW,BG,11.1,11.5,0.4
BR1,2,AW,DALFOR,11.5,11.8,0.3
BR1,2,AW,BG,11.8,12.8,1
BR1,2,AW,HERB,12.8,13,0.2
BR1,2,AW,BG,13,13.6,0.6
BR1,2,AW,OPUCHI,13.6,13.65,0.05
BR1,2,AW,BG,13.65,14,0.35
BR1,2,AW,ARTLUD,14,14.5,0.5
BR1,2,AW,BG,14.5,14.7,0.2
BR1,2,AW,OPUCHI,14.7,15.2,0.5
BR1,2,AW,BG,15.2,15.5,0.3
BR1,2,AW,OPUCHI,15.5,15.7,0.2
BR1,2,AW,BG,15.7,16.1,0.4
BR1,2,AW,HERB,16.1,16.5,0.4
BR1,2,AW,BG,16.5,17,0.5
BR1,2,AW,HERB,17,17.5,0.5
BR1,2,AW,DALFOR,17.5,17.7,0.2
BR1,2,AW,BG,17.7,17.9,0.2
BR1,2,AW,HERB,17.9,18.1,0.2
BR1,2,AW,OPUCHI,18.1,18.3,0.2
BR1,2,AW,purgre,18.2,18.5,0.3
BR1,2,AW,BG,18.5,18.8,0.3
BR1,2,AW,OPUCHI,18.8,18.85,0.05
BR1,2,AW,BG,18.85,19.5,0.65
BR1,2,AW,DASLEI,19.5,20.5,1
BR1,2,AW,BG,20.5,21.5,1
BR1,2,AW,HERB,21.5,22,0.5
BR1,2,AW,DASLEI,22,22.2,0.2
BR1,2,AW,DALFOR,22.2,22.5,0.3
BR1,2,AW,BG,22.5,26.6,4.1
BR1,2,AW,DASLEI,26.6,27.3,0.7
BR1,2,AW,BG,27.3,28.6,1.3
BR1,2,AW,DASLEI,28.6,29.2,0.6
BR1,2,AW,HERB,29.2,29.6,0.4
