site,team,ttrans,transect,spcode,start,stop,dieback,notes
C1,DT,3,DT3,OPDUL,41.1,41.4,100,
C1,DT,3,DT3,VISTE,41.8,41.9,100,
C1,DT,3,DT3,HERB,42.8,43.1,,
C1,DT,3,DT3,VISTE,43.15,43.7,100,
C1,DT,3,DT3,AGLEC,43.8,44,100,
C1,DT,3,DT3,ACGRE,45.8,47.1,100,
C1,DT,3,DT3,HERB,47,47.3,,
C1,DT,3,DT3,HERB,49.7,49.85,,
C1,BL,4,BL1,HERB,0.15,0.27,,
C1,BL,4,BL1,HERB,0.71,0.74,,
C1,BL,4,BL1,VISTE,1.05,1.52,100,
C1,BL,4,BL1,HERB,1.3,1.34,,
C1,BL,4,BL1,HERB,1.5,1.62,,
C1,BL,4,BL1,VISTE,1.8,1.91,100,
C1,BL,4,BL1,HERB,2.2,2.31,,
C1,BL,4,BL1,HERB,2.6,2.64,,
C1,BL,4,BL1,ACGRE,2.8,3.3,100,
C1,BL,4,BL1,HERB,3,3.15,,
C1,BL,4,BL1,VISTE,3.51,3.75,100,
C1,BL,4,BL1,VISTE,3.95,4.25,100,
C1,BL,4,BL1,thidea,4.65,5.05,100,
C1,BL,4,BL1,VISTE,5.1,5.25,100,
C1,BL,4,BL1,thidea,5.55,5.9,100,
C1,BL,4,BL1,DALEI,5.65,7.4,50,
C1,BL,4,BL1,FERUP,7.75,8.5,99,
C1,BL,4,BL1,ACGRE,8.5,8.92,10,
C1,BL,4,BL1,HERB,8.56,9,,
C1,BL,4,BL1,HERB,9.15,9.28,,
C1,BL,4,BL1,HERB,9.61,9.71,,
C1,BL,4,BL1,VISTE,10.3,10.8,100,
C1,BL,4,BL1,HERB,10.55,10.6,,
C1,BL,4,BL1,legmin,11.1,11.33,100,
C1,BL,4,BL1,HERB,11.73,11.88,,
C1,BL,4,BL1,HERB,12,12.07,,
C1,BL,4,BL1,VISTE,12.4,12.8,,
C1,BL,4,BL1,HERB,12.83,12.84,,
C1,BL,4,BL1,HERB,13.36,13.4,,
C1,BL,4,BL1,VISTE,13.55,14.1,,
C1,BL,4,BL1,HERB,14,14.05,,
C1,BL,4,BL1,HERB,14.18,14.24,,
C1,BL,4,BL1,HERB,15.18,15.29,,
C1,BL,4,BL1,AGLEC,15.35,15.77,100,
C1,BL,4,BL1,AGLEC,15.9,16.07,,
C1,BL,4,BL1,HERB,15.8,15.85,,
C1,BL,4,BL1,HERB,16.22,16.29,,
C1,BL,4,BL1,HERB,16.5,16.55,,
C1,BL,4,BL1,HERB,16.93,16.96,,
C1,BL,4,BL1,AGLEC,17.32,17.67,100,
C1,BL,4,BL1,AGLEC,17.65,18.15,100,
C1,BL,4,BL1,legmin,18.52,18.77,100,
C1,BL,4,BL1,legmin,19.83,20.15,100,
C1,BL,4,BL1,HERB,20.48,20.82,,
C1,BL,4,BL1,HERB,20.48,20.82,,
C1,BL,4,BL1,VISTE,21.23,21.26,100,
C1,BL,4,BL1,legmin,22.13,22.24,100,
C1,BL,4,BL1,HERB,22.12,22.22,,
C1,BL,4,BL1,HERB,22.38,22.41,,
C1,BL,4,BL1,HERB,22.57,22.63,,
C1,BL,4,BL1,sushai,23.2,23.6,100,
C1,BL,4,BL1,HERB,23.2,23.23,,
C1,BL,4,BL1,HERB,24.1,24.2,,
C1,BL,4,BL1,legmin,24.25,24.6,100,
C1,BL,4,BL1,HERB,25.25,25.36,,
C1,BL,4,BL1,legmin,26.81,27.17,100,
C1,BL,4,BL1,HERB,26.22,26.38,,
C1,BL,4,BL1,legmin,26.81,27.17,100,
C1,BL,4,BL1,HERB,27.03,27.13,,
C1,BL,4,BL1,HERB,27.58,27.65,,
C1,BL,4,BL1,HERB,27.93,28.06,,
C1,BL,4,BL1,legmin,28.2,28.45,100,
C1,BL,4,BL1,HERB,29.4,29.6,,
C1,BL,4,BL1,HERB,29.75,29.88,,
C1,BL,4,BL1,HERB,30.44,30.48,,
C1,BL,4,BL1,AGLEC,30.9,31.24,100,
C1,BL,4,BL1,LECAN,30.55,30.91,90,
C1,BL,4,BL1,VISTE,31.3,31.53,100,
C1,BL,4,BL1,AGLEC,32.75,33.85,95,
C1,BL,4,BL1,HERB,33.65,34.03,,
C1,BL,4,BL1,AGLEC,34.18,34.32,100,
C1,BL,4,BL1,VISTE,35.74,36.22,100,
C1,BL,4,BL1,AGLEC,36.1,37.5,100,
C1,BL,4,BL1,VISTE,36.5,37.1,100,
C1,BL,4,BL1,ACGRE,37.3,38.26,40,
C1,BL,4,BL1,HERB,38.24,38.32,,
C1,BL,4,BL1,HERB,38.76,38.81,,
C1,BL,4,BL1,HERB,39.87,39.94,,
C1,BL,4,BL1,HERB,40.44,40.47,,
C1,BL,4,BL1,HERB,41,41.07,,
