"site","team","transect","spcode","start","stop","dieback","notes"
"BR1","AW",1,"BG",0,0.4,,
"BR1","AW",1,"HERB",0.4,0.9,,
"BR1","AW",1,"ACACON",0.9,1,,
"BR1","AW",1,"HERB",1,1.2,,
"BR1","AW",1,"BG",1.2,2.6,,
"BR1","AW",1,"MIMACU",2.6,2.7,,
"BR1","AW",1,"BG",2.7,3.6,,
"BR1","AW",1,"HERB",3.9,4.3,,
"BR1","AW",1,"BG",4.3,4.95,,
"BR1","AW",1,"astirr",4.95,5.5,,
"BR1","AW",1,"MAHTRI",5.5,6.8,,
"BR1","AW",1,"DASLEI",6,6.2,,
"BR1","AW",1,"RHUVIR",6.5,6.8,,
"BR1","AW",1,"HERB",6.8,7.1,,
"BR1","AW",1,"BG",7.1,7.4,,
"BR1","AW",1,"JUNPIN",7.4,14,,
"BR1","AW",1,"NOLERU",8.7,9.2,,
"BR1","AW",1,"BG",14,14.4,,
"BR1","AW",1,"DASLEI",14.4,15.4,,
"BR1","AW",1,"DALFOR",15.2,15.4,,
"BR1","AW",1,"DASLEI",15.4,15.5,,
"BR1","AW",1,"astirr",16.5,16.8,,
"BR1","AW",1,"ALOGRA",16,17.4,,
"BR1","AW",1,"ACACON",17.5,18.1,,
"BR1","AW",1,"ALOGRA",18,18.9,,
"BR1","AW",1,"OPUCHI",18.9,19.1,,
"BR1","AW",1,"BG",19.1,20.1,,
"BR1","AW",1,"ACACON",20,20.1,,
"BR1","AW",1,"BG",20.1,20.7,,
"BR1","AW",1,"ACACON",20.7,20.8,,
"BR1","AW",1,"OPUCHI",20.8,21.4,,
"BR1","AW",1,"ACACON",21.7,21.8,,
"BR1","AW",1,"BG",21.4,21.7,,
"BR1","AW",1,"OPUCHI",22.15,22.2,,
"BR1","AW",1,"BG",21.8,22.15,,
"BR1","AW",1,"BG",22.2,22.3,,
"BR1","AW",1,"HERB",22.3,22.5,,
"BR1","AW",1,"BG",22.5,22.8,,
"BR1","AW",1,"astirr",22.8,22.95,,
"BR1","AW",1,"HERB",22.95,23.9,,
"BR1","AW",1,"BG",23.9,24.6,,
"BR1","AW",1,"HERB",24.6,24.7,,
"BR1","AW",1,"OPUCHI",24.85,24.9,,
"BR1","AW",1,"BG",24.9,25.2,,
"BR1","AW",1,"NOLERU",25.2,25.25,,
"BR1","AW",1,"BG",25.25,25.9,,
"BR1","AW",1,"OPUCHI",25.9,26.15,,
"BR1","AW",1,"BG",26.15,26.6,,
"BR1","AW",1,"ACACON",26.6,26.65,,
"BR1","AW",1,"BG",26.85,27.5,,
"BR1","AW",1,"HERB",27.5,27.6,,
"BR1","AW",1,"BG",27.6,27.9,,
"BR1","AW",1,"ACACON",27.9,28.3,,
"BR1","AW",1,"BG",28.3,29.05,,
"BR1","AW",1,"OPUCHI",29.05,29.1,,
"BR1","AW",1,"BG",29.1,29.4,,
"BR1","AW",1,"HERB",29.4,29.5,,
"BR1","AW",1,"BG",29.5,30,,
"BR1","AW",1,"DASLEI",30,31,,
"BR1","AW",1,"BG",31,31.7,,
"BR1","AW",1,"DASLEI",31.7,31.85,,
"BR1","AW",1,"astirr",31.85,32.4,,
"BR1","AW",1,"ACACON",32.4,32.55,,
"BR1","AW",1,"BG",32.55,34,,
"BR1","AW",1,"OPUCHI",34,34.01,,
"BR1","AW",1,"BG",34.01,35.3,,
"BR1","AW",1,"ACACON",25.3,35.5,,
"BR1","AW",1,"DASLEI",35.5,36.4,,
"BR1","AW",1,"BG",36.4,38.2,,
"BR1","AW",1,"OPUCHI",38.2,38.5,,
"BR1","AW",1,"BG",38.5,39,,
"BR1","AW",1,"AGALEC",39,40,,
"BR1","AW",1,"DASLEI",40,40.6,,
"BR1","AW",1,"AGALEC",40.6,41.5,,
"BR1","AW",1,"fascic",41.2,43.2,,
"BR1","AW",1,"HERB",43.2,43.85,,
"BR1","AW",1,"BG",43.85,44.5,,
"BR1","AW",1,"AGALEC",44.5,46.3,,
"BR1","AW",1,"MIMACU",46.3,47,,
"BR1","AW",1,"ACACON",47,48.3,,
"BR1","AW",1,"BG",48.3,49,,
"BR1","AW",1,"AGALEC",49,49.5,,
"BR1","AW",1,"MIMACU",49.3,49.4,,
"BR1","AW",1,"BG",49.4,50,,
"BR1","AW",2,"HERB",0,0.4,,
"BR1","AW",2,"BG",0.4,1.5,,
"BR1","AW",2,"ACACON",1.5,1.9,,
"BR1","AW",2,"DALFOR",1.9,2.6,,
"BR1","AW",2,"BG",2.6,2.9,,
"BR1","AW",2,"DALFOR",2.9,3.2,,
"BR1","AW",2,"HERB",3.2,3.5,,
"BR1","AW",2,"DALFOR",3.5,3.7,,
"BR1","AW",2,"HERB",3.7,4.9,,
"BR1","AW",2,"BG",4.9,5.3,,
"BR1","AW",2,"HERB",5.3,5.5,,
"BR1","AW",2,"EPHTOR",5.5,5.9,,
"BR1","AW",2,"HERB",5.9,6.15,,
"BR1","AW",2,"BG",6.15,6.5,,
"BR1","AW",2,"ACACON",6.5,7.5,,
"BR1","AW",2,"astirr",7.5,8.2,,
"BR1","AW",2,"BG",8.2,8.9,,
"BR1","AW",2,"HERB",8.9,9.1,,
"BR1","AW",2,"BG",9.1,9.9,,
"BR1","AW",2,"DALFOR",9.9,10.2,,
"BR1","AW",2,"BG",10.2,11,,
"BR1","AW",2,"DALFOR",11,11.1,,
"BR1","AW",2,"BG",11.1,11.5,,
"BR1","AW",2,"DALFOR",11.5,11.8,,
"BR1","AW",2,"BG",11.8,12.8,,
"BR1","AW",2,"HERB",12.8,13,,
"BR1","AW",2,"BG",13,13.6,,
"BR1","AW",2,"OPUCHI",13.6,13.65,,
"BR1","AW",2,"BG",13.65,14,,
"BR1","AW",2,"ARTLUD",14,14.5,,
"BR1","AW",2,"BG",14.5,14.7,,
"BR1","AW",2,"OPUCHI",14.7,15.2,,
"BR1","AW",2,"BG",15.2,15.5,,
"BR1","AW",2,"OPUCHI",15.5,15.7,,
"BR1","AW",2,"BG",15.7,16.1,,
"BR1","AW",2,"HERB",16.1,16.5,,
"BR1","AW",2,"BG",16.5,17,,
"BR1","AW",2,"HERB",17,17.5,,
"BR1","AW",2,"DALFOR",17.5,17.7,,
"BR1","AW",2,"BG",17.7,17.9,,
"BR1","AW",2,"HERB",17.9,18.1,,
"BR1","AW",2,"OPUCHI",18.1,18.3,,
"BR1","AW",2,"purgre",18.2,18.5,,
"BR1","AW",2,"BG",18.5,18.8,,
"BR1","AW",2,"OPUCHI",18.8,18.85,,
"BR1","AW",2,"BG",18.85,19.5,,
"BR1","AW",2,"DASLEI",19.5,20.5,,
"BR1","AW",2,"BG",20.5,21.5,,
"BR1","AW",2,"HERB",21.5,22,,
"BR1","AW",2,"DASLEI",22,22.2,,
"BR1","AW",2,"DALFOR",22.2,22.5,,
"BR1","AW",2,"BG",22.5,26.6,,
"BR1","AW",2,"DASLEI",26.6,27.3,,
"BR1","AW",2,"BG",27.3,28.6,,
"BR1","AW",2,"DASLEI",28.6,29.2,,
"BR1","AW",2,"HERB",29.2,29.6,,
"BR1","AW",2,"OPUCHI",29.6,29.9,,
"BR1","AW",2,"DALFOR",29.9,30.1,,
"BR1","AW",2,"astirr",30.1,30.4,,
"BR1","AW",2,"BG",30.4,30.8,,
"BR1","AW",2,"OPUCHI",30.8,31.5,,
"BR1","AW",2,"DALFOR",31.5,32.6,,
"BR1","AW",2,"BG",32.6,33,,
"BR1","AW",2,"astirr",33,33.4,,
"BR1","AW",2,"ACACON",33.4,33.8,,
"BR1","AW",2,"BG",33.8,35.8,,
"BR1","AW",2,"astirr",35.8,36.4,,
"BR1","AW",2,"ACACON",36.4,36.5,,
"BR1","AW",2,"ARTLUD",36.5,36.7,,
"BR1","AW",2,"DASLEI",36.7,37,,
"BR1","AW",2,"ACACON",37,38,,
"BR1","AW",2,"ARTLUD",38,39.4,,
"BR1","AW",2,"BG",39.4,42.3,,
"BR1","AW",2,"ARTLUD",42.3,42.8,,
"BR1","AW",2,"BG",42.8,45.1,,
"BR1","AW",2,"DALFOR",45.1,45.4,,
"BR1","AW",2,"oppwoo",45.5,45.6,,
"BR1","AW",2,"DASLEI",45.6,46.5,,
"BR1","AW",2,"BG",46.5,46.6,,
"BR1","AW",2,"astirr",46.6,47.1,,
"BR1","AW",2,"BG",47.1,47.9,,
"BR1","AW",2,"DALFOR",47.9,48.5,,
"BR1","AW",2,"DASLEI",48.5,50,,
"BR1","HC",3,"NOLERU",0,1,,
"BR1","HC",3,"ACAGRE",0.4,1.3,,
"BR1","HC",3,"NOLERU",0.8,1.8,,
"BR1","HC",3,"oppwoo",0.4,0.65,,
"BR1","HC",3,"HERB",1.9,2.5,,
"BR1","HC",3,"ACAGRE",2.65,2.8,,
"BR1","HC",3,"ACACON",3,4.5,,
"BR1","HC",3,"ACAGRE",4,4.4,,
"BR1","HC",3,"DASLEI",4.3,5.2,,
"BR1","HC",3,"DASLEI",5.2,5.9,,
"BR1","HC",3,"BG",5.9,6.3,,
"BR1","HC",3,"DASLEI",6.3,6.9,,
"BR1","HC",3,"DASLEI",6.4,6.8,,
"BR1","HC",3,"OPUCHI",7,8.2,,
"BR1","HC",3,"DASLEI",7.1,8.6,,
"BR1","HC",3,"BG",8.6,9,,
"BR1","HC",3,"ACACON",9,9.75,,
"BR1","HC",3,"BG",9,10.6,,
"BR1","HC",3,"DASLEI",10.6,11.9,,
"BR1","HC",3,"BG",11.9,12.4,,
"BR1","HC",3,"DASLEI",12.4,13.2,,
"BR1","HC",3,"EPHTOR",13.2,13.7,,
"BR1","HC",3,"BG",13.7,14.3,,
"BR1","HC",3,"RHUMIC",14.3,16.1,,
"BR1","HC",3,"JUNPIN",16.1,19.7,,
"BR1","HC",3,"BG",19.7,20.3,,
"BR1","HC",3,"JUNPIN",20.3,21.4,,
"BR1","HC",3,"DASLEI",20.4,21.9,,
"BR1","HC",3,"BG",21.9,24.3,,
"BR1","HC",3,"DASLEI",24.3,24.6,,
"BR1","HC",3,"BG",24.6,28.1,,
"BR1","HC",3,"JUNPIN",28.1,29.93,,
"BR1","HC",3,"OPUCHI",30.4,31.15,,
"BR1","HC",3,"BG",31.15,31.6,,
"BR1","HC",3,"ACACON",31.6,31.8,,
"BR1","HC",3,"DALFOR",33.75,34.15,,
"BR1","HC",3,"astirr",34.3,34.75,,
"BR1","HC",3,"DALFOR",34.9,35.15,,
"BR1","HC",3,"astirr",35.2,35.55,,
"BR1","HC",3,"ACACON",35.25,36.05,,
"BR1","HC",3,"JUNPIN",36,37.1,,
"BR1","HC",3,"DALFOR",37.1,37.35,,
"BR1","HC",3,"BG",37.35,38.5,,
"BR1","HC",3,"HERB",38.5,41.3,,
"BR1","HC",3,"EPHTOR",41.4,41.9,,
"BR1","HC",3,"ACACON",41.8,42.3,,
"BR1","HC",3,"BG",42.3,42.4,,
"BR1","HC",3,"ACACON",42.4,43.2,,
"BR1","HC",3,"ACAGRE",43.3,44.4,,
"BR1","HC",3,"BG",43.2,44,,
"BR1","HC",3,"JUNPIN",44,44.7,,
"BR1","HC",3,"ACAGRE",44.8,45.1,,
"BR1","HC",3,"BG",45.1,45.4,,
"BR1","HC",3,"ACAGRE",45.4,45.7,,
"BR1","HC",3,"OPUCHI",45.7,47.9,,
"BR1","HC",3,"BG",47.9,49.1,,
"BR1","HC",3,"astirr",49.1,50,,
"BR1","HC",4,"RHUMIC",0,2.5,,
"BR1","HC",4,"BG",2.5,4,,
"BR1","HC",4,"NOLERU",4,5.4,,
"BR1","HC",4,"OPUCHI",5.1,5.4,,
"BR1","HC",4,"BG",5.4,6.5,,
"BR1","HC",4,"fascic",5.5,8.4,,
"BR1","HC",4,"BG",8.4,9.1,,
"BR1","HC",4,"ACACON",9.15,9.9,,
"BR1","HC",4,"OPUCHI",9.4,10.45,,
"BR1","HC",4,"DASLEI",9.8,10.75,,
"BR1","HC",4,"BG",10.75,10.9,,
"BR1","HC",4,"ACACON",10.9,11.4,,
"BR1","HC",4,"ACAGRE",11.55,11.9,,
"BR1","HC",4,"BG",11.9,12.1,,
"BR1","HC",4,"NOLERU",12.1,13.1,,
"BR1","HC",4,"ACAGRE",13,13.7,,
"BR1","HC",4,"BG",13.7,14,,
"BR1","HC",4,"astirr",14,14.4,,
"BR1","HC",4,"ACAGRE",13.7,14.4,,
"BR1","HC",4,"HERB",14.4,15.7,,
"BR1","HC",4,"ACAGRE",15.7,15.9,,
"BR1","HC",4,"ACACON",16,16.95,,
"BR1","HC",4,"BG",17,17.8,,
"BR1","HC",4,"ACACON",17.8,18.1,,
"BR1","HC",4,"BG",18.1,18.6,,
"BR1","HC",4,"NOLERU",18.6,19.2,,
"BR1","HC",4,"BG",19.3,19.8,,
"BR1","HC",4,"OPUCHI",19.85,20.3,,
"BR1","HC",4,"ACACON",20.4,20.85,,
"BR1","HC",4,"dalgre",21.3,21.7,,
"BR1","HC",4,"BG",21.7,24.3,,
"BR1","HC",4,"ACAGRE",24.2,24.8,,
"BR1","HC",4,"DASLEI",25,26.7,,
"BR1","HC",4,"BG",26.7,27.7,,
"BR1","HC",4,"JUNPIN",27.7,30.6,,
"BR1","HC",4,"BG",30.6,31.4,,
"BR1","HC",4,"JUNPIN",31.4,32.9,,
"BR1","HC",4,"BG",32.9,34.8,,
"BR1","HC",4,"DASLEI",34.7,35.7,,
"BR1","HC",4,"BG",35.7,37.4,,
"BR1","HC",4,"DASLEI",37.4,39,,
"BR1","HC",4,"JUNPIN",39,44.1,,
"BR1","HC",4,"oppwoo",44.1,45,,
"BR1","HC",4,"BG",45,46.2,,
"BR1","HC",4,"DASLEI",46.2,47.1,,
"BR1","HC",4,"ACAGRE",47.2,50,,
"BR1","MS",5,"ARTLUD",0.36,3.11,,
"BR1","MS",5,"HERB",0,3.13,,
"BR1","MS",5,"BG",3.1,3.7,,
"BR1","MS",5,"HERB",3.7,10.34,,
"BR1","MS",5,"DASLEI",10.33,11.42,,
"BR1","MS",5,"BG",11.42,12.35,,
"BR1","MS",5,"HERB",12.35,22.7,,
"BR1","MS",5,"ARTLUD",12.71,12.9,,
"BR1","MS",5,"astirr",13.4,13.55,,
"BR1","MS",5,"OPUCHI",20.05,20.55,,
"BR1","MS",5,"DALFOR",17.81,18.05,,
"BR1","MS",5,"OPUCHI",21.25,22.35,,
"BR1","MS",5,"DALFOR",22.4,22.8,,
"BR1","MS",5,"DALFOR",23.2,23.4,,
"BR1","MS",5,"BG",23.7,24.36,,
"BR1","MS",5,"OPUCHI",24.4,24.7,,
"BR1","MS",5,"astirr",25.11,25.33,,
"BR1","MS",5,"YUCTOR",25.31,25.55,,
"BR1","MS",5,"DASLEI",25.44,26.75,,
"BR1","MS",5,"astirr",26.8,27.9,,
"BR1","MS",5,"DALFOR",27.22,27.84,,
"BR1","MS",5,"DALFOR",27.66,28.99,,
"BR1","MS",5,"HERB",24.36,34.45,,
"BR1","MS",5,"DALFOR",30.45,31.2,,
"BR1","MS",5,"DASLEI",31.24,33.8,,
"BR1","MS",5,"astirr",31.2,31.6,,
"BR1","MS",5,"ARTLUD",34.3,48.45,,
"BR1","MS",5,"OPUCHI",34.65,34.9,,
"BR1","MS",5,"astirr",37.45,37.51,,
"BR1","MS",5,"RHUMIC",42.3,42.44,,
"BR1","MS",5,"ACACON",45,46.31,,
"BR1","MS",5,"BG",42.45,45,,
"BR1","MS",5,"oppwoo",46.9,47.35,,
"BR1","MS",5,"DASLEI",47.5,48.44,,
"BR1","MS",5,"DASLEI",48.76,50,,
"BR1","MS",5,"astirr",48.82,49.11,,
"BR1","MS",6,"HERB",0,28.7,,
"BR1","MS",6,"DALFOR",0.43,1.2,,
"BR1","MS",6,"ACACON",1.2,1.5,,
"BR1","MS",6,"DALFOR",1.44,2.1,,
"BR1","MS",6,"MIMACU",3.2,4.15,,
"BR1","MS",6,"OPUCHI",5.54,5.83,,
"BR1","MS",6,"astsho",8.12,8.85,,
"BR1","MS",6,"DALFOR",8.8,10.84,,
"BR1","MS",6,"DASLEI",11.45,12.55,,
"BR1","MS",6,"MIMACU",12.66,12.9,,
