"site","team","transect","spcode","start","stop","dieback","notes"
"PT1","KS",1,"CERMON",21.8,21.89,0,
"PT1","KS",1,"HERB",23.9,25.6,,
"PT1","KS",1,"QUEGRI",27.65,29.9,50,
"PT1","KS",1,"HERB",27.7,31.4,0,
"PT1","KS",1,"OPUCHI",28.35,28.41,0,
"PT1","KS",1,"OPUCHI",33.48,34.05,15,
"PT1","KS",1,"HERB",37.85,42.53,,
"PT1","KS",1,"JUNDEP",38.9,42.3,0,
"PT1","KS",1,"AGAHAV",41.78,41.8,30,
"PT1","KS",1,"QUEGRI",40.4,44.8,100,
"PT1","KS",1,"NOLERU",43.8,43.95,40,
"PT1","KS",1,"HERB",44.3,49,,
"PT1","KS",1,"OPUCHI",48.6,48.85,0,
"PT1","KS",1,"HERB",49.2,49.5,,
"PT1","KS",1,"QUEGRI",45.7,48.7,100,
"PT1","KS",2,"JUNDEP",0,1.25,0,
"PT1","KS",2,"DASLEI",0.9,1.6,0,
"PT1","KS",2,"NOLERU",2.7,3.5,0,
"PT1","KS",2,"VIQSTE",4.3,4.6,0,
"PT1","KS",2,"HERB",5,5.5,,
"PT1","KS",2,"HERB",7.1,7.5,,
"PT1","KS",2,"RHUVIR",7.68,9,10,
"PT1","KS",2,"HERB",9.95,10.25,,
"PT1","KS",2,"OPUCHI",11.26,11.35,0,
"PT1","KS",2,"ERILAR",11.47,11.65,50,
"PT1","KS",2,"QUEGRI",10.9,12.95,5,
"PT1","KS",2,"RHUTRI",13.33,13.35,0,
"PT1","KS",2,"OPUCHI",13.5,13.54,20,
"PT1","KS",2,"NOLERU",15.2,16.6,0,
"PT1","KS",2,"QUEGRI",17.2,20.5,100,
"PT1","KS",2,"HERB",18.5,21.7,,
"PT1","KS",2,"HERB",22.8,24.15,,
"PT1","KS",2,"AGAHAV",24.1,24.3,0,
"PT1","KS",2,"HERB",26.4,28.8,,
"PT1","KS",2,"QUEGRI",24.9,29.6,100,
"PT1","KS",2,"JUNDEP",29.35,33.8,2,
"PT1","KS",2,"HERB",31.4,34.75,,
"PT1","KS",2,"OPUCHI",33.5,33.9,5,
"PT1","KS",2,"HERB",36.5,37,,
"PT1","KS",2,"ERILAR",37.28,37.35,0,
"PT1","KS",2,"astlin",40.85,41.1,0,
"PT1","KS",2,"astlin",41.2,41.55,0,
"PT1","KS",2,"HERB",42,43.2,,
"PT1","KS",2,"HERB",43.19,43.22,,
"PT1","KS",2,"PINCEM",43.9,46.6,5,
"PT1","KS",2,"AGAHAV",46.4,46.55,100,
"PT1","KS",2,"astlin",46.55,46.85,0,
"PT1","KS",2,"ERILAR",48.2,48.4,0,
"PT1","KS",2,"HERB",49.2,49.7,,
"PT1","KS",2,"QUEGRI",48.3,50,5,
"BR1","KS",1,"crosho",0.6,0.78,,
"BR1","KS",1,"OPUCHI",1.2,2.2,60,
"BR1","KS",1,"ACACON",2.9,3.9,0,
"BR1","KS",1,"OPUCHI",3.75,3.95,60,
"BR1","KS",1,"ACACON",4.9,5.8,0,
"BR1","KS",1,"ACACON",7.65,8.2,0,
"BR1","KS",1,"ACACON",8.65,9,0,
"BR1","KS",1,"KRAGRA",8.95,9.35,0,
"BR1","KS",1,"VIQSTE",10.25,10.85,0,
"BR1","KS",1,"unarmd",10.7,11.22,0,
"BR1","KS",1,"HERB",11.8,12.5,,
"BR1","KS",1,"VIQSTE",13.3,13.7,0,
"BR1","KS",1,"MIMACU",13.65,13.75,20,
"BR1","KS",1,"ACACON",13.9,15.05,10,
"BR1","KS",1,"ACACON",15.93,16.1,0,
"BR1","KS",1,"VIQSTE",16.2,16.7,5,
"BR1","KS",1,"ACACON",16.9,17.3,5,
"BR1","KS",1,"KRAGRA",19.05,19.3,5,
"BR1","KS",1,"KRAGRA",20.6,21,0,
"BR1","KS",1,"ACACON",23.6,24.4,20,
"BR1","KS",1,"AGAHAV",24.7,25.3,0,
"BR1","KS",1,"JUNPIN",26.75,27.7,10,
"BR1","KS",1,"ACACON",26.95,27.4,10,
